# Distill Linux Package Catalog
# NAME	VERSION	SHA256	SIZE	FILENAME	DEPENDS
alacritty	0.17.0		0	alacritty-0.17.0.drop	freetype-devel fontconfig-devel libxcb-devel libxkbcommon-devel
alsa-lib	1.2.16.1		0	alsa-lib-1.2.16.1.drop	
alsa-utils	1.2.16		0	alsa-utils-1.2.16.drop	libsamplerate-devel ncurses-devel
autoconf	2.73		0	autoconf-2.73.drop	
automake	1.16.5		0	automake-1.16.5.drop	
azpainter	3.0.12		0	azpainter-3.0.12.drop	fontconfig-devel libXcursor-devel libXi-devel libXrender-devel libjpeg-turbo-devel libpng-devel libwebp-devel tiff-devel zlib-devel freetype-devel
badwolf	1.4.0		0	badwolf-1.4.0.drop	libwebkit2gtk41-devel
bearssl	0.6		0	bearssl-0.6.drop	
binutils	2.44		0	binutils-2.44.drop	zlib-devel libzstd-devel
bitmap	1.1.2		0	bitmap-1.1.2.drop	libXt-devel libXmu-devel libXaw-devel xbitmaps
bsd-mk-files	20240414		0	bsd-mk-files-20240414.drop	
bsdmake	20240414		0	bsdmake-20240414.drop	
btrfs-progs	6.11		0	btrfs-progs-6.11.drop	acl-devel libzstd-devel lzo-devel libblkid-devel libuuid-devel
byacc	20260126		0	byacc-20260126.drop	
ca-certificates	20250419+3.127		0	ca-certificates-20250419+3.127.drop	
cage	0.3.0		0	cage-0.3.0.drop	libxkbcommon-devel wlroots0.20-devel
cairo	1.18.4		0	cairo-1.18.4.drop	fontconfig-devel freetype-devel libglib-devel libpng-devel libX11-devel
cargo	1.98.0		0	cargo-1.98.0.drop	rust libcurl-devel openssl-devel
chrony	4.8		0	chrony-4.8.drop	gnutls-devel libcap-devel libedit-devel libseccomp-devel
clang	21		0	clang-21.drop	
compiler-rt	21		0	compiler-rt-21.drop	
cproc	main		0	cproc-main.drop	
cryptsetup	2.8.7		0	cryptsetup-2.8.7.drop	device-mapper-devel json-c-devel openssl-devel popt-devel
curl	8.21.0		0	curl-8.21.0.drop	nghttp2-devel zlib-devel
dav1d	1.5.3		0	dav1d-1.5.3.drop	
dbus	1.16.2		0	dbus-1.16.2.drop	expat-devel libX11-devel libcap-devel
dejavu-fonts-ttf	2.37		0	dejavu-fonts-ttf-2.37.drop	
dhcpcd	10.3.2		0	dhcpcd-10.3.2.drop	eudev-libudev-devel
diffutils	3.12		0	diffutils-3.12.drop	
dillo	3.3.0		0	dillo-3.3.0.drop	brotli-devel fltk-devel libwebp-devel openssl-devel
dmenu	5.4		0	dmenu-5.4.drop	libXinerama-devel libXft-devel freetype-devel
dosfstools	4.2		0	dosfstools-4.2.drop	eudev-libudev-devel
drop	0.1.0		0	drop-0.1.0.drop	
dropbear	2025.89		0	dropbear-2025.89.drop	zlib-devel libtommath-devel libtomcrypt-devel
dwl	0.6		0	dwl-0.6.drop	
dwm	6.8		0	dwm-6.8.drop	libXinerama-devel libXft-devel freetype-devel
e2fsprogs	1.47.2		0	e2fsprogs-1.47.2.drop	libuuid-devel libblkid-devel fuse-devel
efibootmgr	18		0	efibootmgr-18.drop	libefivar-devel popt-devel
eudev	3.2.14		0	eudev-3.2.14.drop	libblkid-devel libkmod-devel
fbpad	1.0		0	fbpad-1.0.drop	
fbv	1.0b		0	fbv-1.0b.drop	libpng-devel libjpeg-turbo-devel giflib-devel
feh	3.12.2		0	feh-3.12.2.drop	giblib-devel libXinerama-devel libXt-devel libcurl-devel
ffmpeg	4.4.8		0	ffmpeg-4.4.8.drop	zlib-devel bzip2-devel freetype-devel alsa-lib-devel libXfixes-devel
fim	0.7.1		0	fim-0.7.1.drop	SDL2-devel djvulibre-devel giflib-devel gtk+3-devel jasper-devel
flac	1.5.0		0	flac-1.5.0.drop	libogg-devel
flex	2.6.4		0	flex-2.6.4.drop	bison
font-awesome	4.7.0		0	font-awesome-4.7.0.drop	
fontconfig	2.17.1		0	fontconfig-2.17.1.drop	expat-devel freetype-devel
foot	1.17.2		0	foot-1.17.2.drop	
freetype	2.14.3		0	freetype-2.14.3.drop	bzip2-devel libpng-devel brotli-devel
fribidi	1.0.16		0	fribidi-1.0.16.drop	
fslsfonts	1.0		0	fslsfonts-1.0.drop	
fuzzel	1.14.1		0	fuzzel-1.14.1.drop	fcft-devel libresvg-devel libpng-devel
giflib	6.1.3		0	giflib-6.1.3.drop	
glslang	16.3.0		0	glslang-16.3.0.drop	SPIRV-Tools-devel
go	1.26.5		0	go-1.26.5.drop	
gptfdisk	1.0.10		0	gptfdisk-1.0.10.drop	ncurses-devel popt-devel libuuid-devel
grim	1.5.0		0	grim-1.5.0.drop	wayland-devel wayland-protocols pixman-devel libjpeg-turbo-devel
harfbuzz	14.3.1		0	harfbuzz-14.3.1.drop	cairo-devel graphite-devel icu-devel libxml2
hsetroot	1.0.5		0	hsetroot-1.0.5.drop	libX11-devel imlib2-devel libXinerama-devel
imv	5.0.1		0	imv-5.0.1.drop	cmocka-devel pango-devel librsvg-devel libheif-devel libxkbcommon-devel
iproute2	7.1.0		0	iproute2-7.1.0.drop	libfl-devel libmnl-devel db-devel iptables-devel elfutils-devel
kitty	0.48.2		0	kitty-0.48.2.drop	gettext-devel glfw-devel harfbuzz-devel libxkbcommon-devel
kitty-terminfo	0.48.2		0	kitty-terminfo-0.48.2.drop	gettext-devel glfw-devel harfbuzz-devel libxkbcommon-devel
kmscon	9.3.4		0	kmscon-9.3.4.drop	MesaLib-devel pango-devel libtsm-devel libxkbcommon-devel
libX11	1.8.13		0	libX11-1.8.13.drop	xorgproto xtrans libxcb-devel
libXScrnSaver	1.2.5		0	libXScrnSaver-1.2.5.drop	xorgproto libX11-devel libXext-devel
libXau	1.0.12		0	libXau-1.0.12.drop	xorgproto
libXaw	1.0.16		0	libXaw-1.0.16.drop	libXext-devel libXt-devel libXmu-devel libXpm-devel
libXaw3d	1.6.6		0	libXaw3d-1.6.6.drop	libXmu-devel libXpm-devel xorg-util-macros
libXcomposite	0.4.7		0	libXcomposite-0.4.7.drop	xorgproto libXfixes-devel
libXcursor	1.2.3		0	libXcursor-1.2.3.drop	xorgproto libXfixes-devel libXrender-devel
libXdamage	1.1.7		0	libXdamage-1.1.7.drop	xorgproto libXfixes-devel
libXdmcp	1.1.5		0	libXdmcp-1.1.5.drop	xorgproto
libXext	1.3.7		0	libXext-1.3.7.drop	xorgproto libX11-devel
libXfixes	6.0.2		0	libXfixes-6.0.2.drop	xorgproto libX11-devel
libXft	2.3.9		0	libXft-2.3.9.drop	xorgproto libXrender-devel freetype-devel fontconfig-devel
libXi	1.8.3		0	libXi-1.8.3.drop	xorgproto libXfixes-devel libXext-devel
libXinerama	1.1.6		0	libXinerama-1.1.6.drop	xorgproto libXext-devel
libXmu	1.3.1		0	libXmu-1.3.1.drop	libXext-devel libXt-devel
libXmuu	1.0		0	libXmuu-1.0.drop	
libXpm	3.5.19		0	libXpm-3.5.19.drop	xorgproto libSM-devel libXext-devel libXt-devel
libXrandr	1.5.5		0	libXrandr-1.5.5.drop	xorgproto libXext-devel libXrender-devel
libXrender	0.9.12		0	libXrender-0.9.12.drop	xorgproto libXext-devel
libXres	1.2.3		0	libXres-1.2.3.drop	xorgproto libXext-devel
libXt	1.3.1		0	libXt-1.3.1.drop	xorgproto libSM-devel libX11-devel
libXtst	1.2.5		0	libXtst-1.2.5.drop	xorgproto libXext-devel libXi-devel
libXv	1.0.13		0	libXv-1.0.13.drop	xorgproto libX11-devel libXext-devel
libarchive	3.8.9		0	libarchive-3.8.9.drop	zlib-devel bzip2-devel liblzma-devel
libcxx	22.1.4		0	libcxx-22.1.4.drop	python3-devel zlib-devel elfutils-devel libffi-devel libedit-devel
libcxxabi	22.1.4		0	libcxxabi-22.1.4.drop	python3-devel zlib-devel elfutils-devel libffi-devel libedit-devel
libdrm	2.4.134		0	libdrm-2.4.134.drop	eudev-libudev-devel libpciaccess-devel
libepoxy	1.5.10		0	libepoxy-1.5.10.drop	MesaLib-devel
liberation-fonts-ttf	2.1.5		0	liberation-fonts-ttf-2.1.5.drop	
libfontenc	1.1.9		0	libfontenc-1.1.9.drop	xorgproto zlib-devel
libglvnd	1.7.0		0	libglvnd-1.7.0.drop	libXext-devel libX11-devel xorgproto
libjpeg-turbo	3.1.4.1		0	libjpeg-turbo-3.1.4.1.drop	
libogg	1.3.6		0	libogg-1.3.6.drop	
libopus	1.0		0	libopus-1.0.drop	
libpng	1.6.58		0	libpng-1.6.58.drop	zlib-devel
libressl	1.0		0	libressl-1.0.drop	
librsync	2.3.4		0	librsync-2.3.4.drop	zlib-devel bzip2-devel popt-devel
libtiff	1.0		0	libtiff-1.0.drop	
libtool	2.4.7		0	libtool-2.4.7.drop	
libva	2.24.1		0	libva-2.24.1.drop	libXfixes-devel libXext-devel libdrm-devel
libva-utils	2.24.0		0	libva-utils-2.24.0.drop	libva-devel libXfixes-devel libXext-devel
libvdpau	1.5		0	libvdpau-1.5.drop	libXext-devel xorgproto
libvorbis	1.3.7		0	libvorbis-1.3.7.drop	libogg-devel
libvpx	1.16.0		0	libvpx-1.16.0.drop	
libwebp	1.6.0		0	libwebp-1.6.0.drop	giflib-devel libpng-devel libfreeglut-devel
libxcb	1.17.0		0	libxcb-1.17.0.drop	libXdmcp-devel libXau-devel
libxkbcommon	1.13.2		0	libxkbcommon-1.13.2.drop	xkeyboard-config libxcb-devel wayland-devel wayland-protocols
libxshmfence	1.3.3		0	libxshmfence-1.3.3.drop	xorgproto
linux-pam	1.0		0	linux-pam-1.0.drop	
lld	21		0	lld-21.drop	
llvm	21		0	llvm-21.drop	
luit	1.0		0	luit-1.0.drop	
lvm2	2.03.29		0	lvm2-2.03.29.drop	eudev-libudev-devel libaio-devel libblkid-devel
lynx	2.9.3		0	lynx-2.9.3.drop	zlib-devel bzip2-devel ncurses-devel openssl-devel
lz4	1.10.0		0	lz4-1.10.0.drop	
m4	1.4.19		0	m4-1.4.19.drop	
mako	1.11.0		0	mako-1.11.0.drop	wayland-devel wayland-protocols pango-devel cairo-devel
mandoc	1.0		0	mandoc-1.0.drop	
mesa	26.1.8		0	mesa-26.1.8.drop	elfutils-devel expat-devel libXdamage-devel
meson	1.9.1		0	meson-1.9.1.drop	
moc	1.0		0	moc-1.0.drop	
mpv	0.41.0		0	mpv-0.41.0.drop	MesaLib-devel ffmpeg6-devel harfbuzz-devel libXv-devel libass-devel
musl-dev	1.2.5		0	musl-dev-1.2.5.drop	
musl-fts	1.2.7		0	musl-fts-1.2.7.drop	
musl-obstack	1.2.3		0	musl-obstack-1.2.3.drop	
nasm	2.16.03		0	nasm-2.16.03.drop	
netsurf	3.11		0	netsurf-3.11.drop	
nsxiv	34		0	nsxiv-34.drop	libX11-devel imlib2-devel giflib-devel libexif-devel libXft-devel
oclock	1.0.6		0	oclock-1.0.6.drop	libXmu-devel libxkbfile-devel
openbox	3.6.1		0	openbox-3.6.1.drop	startup-notification-devel libxml2-devel libXrandr-devel
openntpd	7.9p1		0	openntpd-7.9p1.drop	libtls-devel
openssh	10.5p1		0	openssh-10.5p1.drop	libedit-devel pam-devel zlib-devel
pango	1.56.3		0	pango-1.56.3.drop	fribidi-devel harfbuzz-devel libXft-devel libthai-devel
patch	2.8		0	patch-2.8.drop	attr-devel
pdpmake	1.0		0	pdpmake-1.0.drop	
picom	13		0	picom-13.drop	dbus-devel libconfig-devel libepoxy-devel libev-devel pcre2-devel
pipewire	1.6.7		0	pipewire-1.6.7.drop	$(vopt_if sdl2 SDL2-devel) gst-plugins-base1-devel jack-devel
pixman	0.46.4		0	pixman-0.46.4.drop	libpng-devel
pkgconf	2.1.0		0	pkgconf-2.1.0.drop	
python3	3.14.6		0	python3-3.14.6.drop	libffi-devel readline-devel gdbm-devel openssl-devel
python3-dev	3.12.2		0	python3-dev-3.12.2.drop	
qbe	1.1		0	qbe-1.1.drop	
river	0.3.7		0	river-0.3.7.drop	wlroots0.18-devel libevdev-devel pixman-devel
rustc-bin	1.78.0		0	rustc-bin-1.78.0.drop	
rxvt-unicode	9.31		0	rxvt-unicode-9.31.drop	xorgproto fontconfig-devel
samurai	1.3		0	samurai-1.3.drop	
sdorfehs	1.5		0	sdorfehs-1.5.drop	
seatd	0.9.3		0	seatd-0.9.3.drop	$(vopt_if elogind elogind-devel)
setxkbmap	1.3.4		0	setxkbmap-1.3.4.drop	libX11-devel libxkbfile-devel libXrandr-devel
shadow	4.8.1		0	shadow-4.8.1.drop	acl-devel pam-devel
simde	0.8.2		0	simde-0.8.2.drop	
sink	0.1.0		0	sink-0.1.0.drop	libgit2 curl
slock	1.7		0	slock-1.7.drop	libXrandr-devel
slstatus	20180708		0	slstatus-20180708.drop	alsa-lib-devel libX11-devel
slurp	1.5.0		0	slurp-1.5.0.drop	wayland-devel wayland-protocols cairo-devel libxkbcommon-devel
smake	2024.03.21		0	smake-2024.03.21.drop	acl-devel attr-devel e2fsprogs-devel libcap-progs m4
spirv-headers	1.4.350.1		0	spirv-headers-1.4.350.1.drop	
spirv-tools	2026.2		0	spirv-tools-2026.2.drop	SPIRV-Headers
st	0.9.3		0	st-0.9.3.drop	fontconfig-devel libX11-devel libXft-devel
sway	1.12		0	sway-1.12.drop	wlroots0.20-devel pcre2-devel json-c-devel pango-devel cairo-devel
swaybg	1.2.2		0	swaybg-1.2.2.drop	wayland-protocols cairo-devel gdk-pixbuf-devel wayland-devel
swaylock	1.8.6		0	swaylock-1.8.6.drop	wayland-protocols cairo-devel gdk-pixbuf-devel pam-devel
tcc	0.9.27.20250903		0	tcc-0.9.27.20250903.drop	
terminus-font	4.49.1		0	terminus-font-4.49.1.drop	
twm	1.0.13.1		0	twm-1.0.13.1.drop	libXmu-devel
util-linux	2.41.4		0	util-linux-2.41.4.drop	libcap-ng-devel pam-devel readline-devel zlib-devel
uxterm	411		0	uxterm-411.drop	libXaw-devel libXft-devel libutempter-devel libxkbfile-devel
vulkan-headers	1.4.350.1		0	vulkan-headers-1.4.350.1.drop	
vulkan-loader	1.4.350.1		0	vulkan-loader-1.4.350.1.drop	Vulkan-Headers libxcb-devel libXrandr-devel wayland-devel
w3m	0.5.6		0	w3m-0.5.6.drop	zlib-devel ncurses-devel gc-devel openssl-devel imlib2-devel
waybar	0.15.0		0	waybar-0.15.0.drop	libevdev-devel libinput-devel wayland-devel gtkmm-devel spdlog eudev-libudev-devel
wayland	1.26.0		0	wayland-1.26.0.drop	expat-devel libffi-devel libfl-devel libxml2-devel
wayland-protocols	1.49		0	wayland-protocols-1.49.drop	wayland-devel
wayland-scanner	1.23.0		0	wayland-scanner-1.23.0.drop	
wireplumber	0.5.15		0	wireplumber-0.5.15.drop	libglib-devel pipewire-devel lua54-devel elogind-devel
wl-clipboard	2.3.0		0	wl-clipboard-2.3.0.drop	wayland-protocols wayland-devel
wlr-protocols	main		0	wlr-protocols-main.drop	
wlroots	0.20		0	wlroots-0.20.drop	
wlsunset	0.4.0		0	wlsunset-0.4.0.drop	pkg-config wayland-devel wayland-protocols
wmenu	0.1.8		0	wmenu-0.1.8.drop	
wpa_supplicant	2.12		0	wpa_supplicant-2.12.drop	libnl3-devel openssl-devel $(vopt_if dbus dbus-devel)
wtype	0.4		0	wtype-0.4.drop	libxkbcommon-devel wayland-devel
xarchiver	0.5.4.26		0	xarchiver-0.5.4.26.drop	gtk+3-devel
xbiff	1.0.6		0	xbiff-1.0.6.drop	libXaw-devel xbitmaps
xcalc	1.1.3		0	xcalc-1.1.3.drop	libXaw-devel
xcb-proto	1.17.0		0	xcb-proto-1.17.0.drop	libxml2
xcb-util-cursor	0.1.4		0	xcb-util-cursor-0.1.4.drop	xcb-util-renderutil-devel xcb-util-image-devel
xcb-util-image	0.4.1		0	xcb-util-image-0.4.1.drop	xcb-util-devel
xcb-util-keysyms	0.4.1		0	xcb-util-keysyms-0.4.1.drop	libxcb-devel xcb-util-devel
xcb-util-renderutil	0.3.10		0	xcb-util-renderutil-0.3.10.drop	libxcb-devel xcb-util-devel
xcb-util-wm	0.4.2		0	xcb-util-wm-0.4.2.drop	libxcb-devel xcb-util-devel
xclip	0.13		0	xclip-0.13.drop	libXmu-devel
xclipboard	1.1.6		0	xclipboard-1.1.6.drop	libXaw-devel
xclock	1.2.1		0	xclock-1.2.1.drop	libXmu-devel libXaw-devel libxkbfile-devel libXft-devel
xcutsel	1.0		0	xcutsel-1.0.drop	
xdpyinfo	1.4.0		0	xdpyinfo-1.4.0.drop	libXext-devel libXtst-devel
xedit	1.2.5		0	xedit-1.2.5.drop	libXaw-devel
xev	1.2.6		0	xev-1.2.6.drop	libXrandr-devel
xeyes	1.3.1		0	xeyes-1.3.1.drop	libXmu-devel libXt-devel libXrender-devel libXi-devel
xf86-input-libinput	1.5.0		0	xf86-input-libinput-1.5.0.drop	libinput-devel xorg-server-devel
xf86-video-modesetting	main		0	xf86-video-modesetting-main.drop	
xfd	1.1.5		0	xfd-1.1.5.drop	libXaw-devel freetype-devel libXft-devel libxkbfile-devel
xfe	2.1.7		0	xfe-2.1.7.drop	startup-notification-devel libpng-devel fox-devel xcb-util-devel
xfontsel	1.1.2		0	xfontsel-1.1.2.drop	libXaw-devel
xfsprogs	6.19.0		0	xfsprogs-6.19.0.drop	libblkid-devel libedit-devel inih-devel liburcu-devel
xgamma	1.0.8		0	xgamma-1.0.8.drop	libX11-devel libXxf86vm-devel
xhost	1.0.10		0	xhost-1.0.10.drop	libX11-devel libXmu-devel
xkill	1.0.7		0	xkill-1.0.7.drop	libX11-devel libXmu-devel
xlibre-server	main		0	xlibre-server-main.drop	
xload	1.2.2		0	xload-1.2.2.drop	libXaw-devel
xlogo	1.0.7		0	xlogo-1.0.7.drop	libXaw-devel
xlsfonts	1.0.9		0	xlsfonts-1.0.9.drop	libX11-devel
xmag	1.0.8		0	xmag-1.0.8.drop	libXau-devel libXext-devel libXmu-devel libXaw-devel
xmessage	1.0.7		0	xmessage-1.0.7.drop	libXaw-devel
xmodmap	1.0.12		0	xmodmap-1.0.12.drop	libX11-devel
xorgproto	2025.1		0	xorgproto-2025.1.drop	
xprop	1.2.8		0	xprop-1.2.8.drop	libX11-devel libXmu-devel
xrdb	1.2.3		0	xrdb-1.2.3.drop	libX11-devel libXmu-devel
xrefresh	1.1.1		0	xrefresh-1.1.1.drop	libX11-devel
xrestop	0.6		0	xrestop-0.6.drop	libXres-devel ncurses-devel
xsel	1.2.1		0	xsel-1.2.1.drop	libXt-devel
xterm	411		0	xterm-411.drop	libXaw-devel libXft-devel libutempter-devel libxkbfile-devel
xwd	1.0.10		0	xwd-1.0.10.drop	libX11-devel libxkbfile-devel
xwininfo	1.1.7		0	xwininfo-1.1.7.drop	libX11-devel
xwud	1.0.8		0	xwud-1.0.8.drop	libX11-devel
xxhash	0.8.2		0	xxhash-0.8.2.drop	
xz-embedded	1.0		0	xz-embedded-1.0.drop	
yambar	1.10.0		0	yambar-1.10.0.drop	
yasm	1.3.0		0	yasm-1.3.0.drop	
zathura	2026.07.18		0	zathura-2026.07.18.drop	girara-devel sqlite-devel file-devel zlib-devel libseccomp-devel
zathura-pdf-mupdf	2026.07.18		0	zathura-pdf-mupdf-2026.07.18.drop	mupdf-devel zathura-devel glib-devel
zstd	1.5.7		0	zstd-1.5.7.drop	zlib-devel liblzma-devel liblz4-devel
